ID,CREDITSTATUS,GENDER,OWNCAR,OWNPROPERTY,CHILDRENCOUNT,INCOMETOTAL,INCOMETYPE,EDUCATIONLEVEL,MARITALSTATUS,HOUSINGTYPE,MOBILE,EMAIL,OCCUPATION,FAMSIZE
5008932,0,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008934,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008938,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008947,X,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008949,X,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008950,X,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008958,0,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5008960,C,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5008963,C,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5008976,0,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5008977,0,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5008984,C,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008986,X,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008987,C,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008988,X,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009016,C,F,N,Y,2,216000,State servant,Higher education,Married,House / apartment,1,1,,4
5009019,0,F,N,Y,2,216000,State servant,Higher education,Married,House / apartment,1,1,,4
5009023,C,F,N,Y,2,216000,State servant,Higher education,Married,House / apartment,1,1,,4
5009029,C,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5009032,C,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Accountants,1
5009035,X,F,N,N,0,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,1,0,,2
5009074,0,F,Y,Y,1,450000,State servant,Higher education,Married,House / apartment,1,1,Core staff,3
5009079,C,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,1,1,Laborers,2
5009080,C,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,1,1,Laborers,2
5009084,0,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009089,0,M,Y,N,2,202500,Commercial associate,Higher education,Married,House / apartment,1,0,Laborers,4
5009092,1,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,1,0,Managers,3
5009103,C,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,Drivers,4
5009106,X,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,Drivers,4
5009110,0,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,1,High skill tech staff,2
5009129,C,F,N,N,0,157500,Commercial associate,Higher education,Separated,With parents,1,0,,1
5009143,C,M,Y,N,0,225000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,,2
5009152,C,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009154,C,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009158,C,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009159,C,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009160,C,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009161,C,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009180,C,M,Y,N,0,229500,Working,Incomplete higher,Married,Co-op apartment,1,0,Laborers,2
5009192,C,F,N,N,0,270000,Working,Higher education,Married,House / apartment,1,0,Managers,2
5009204,0,F,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Accountants,2
5009209,0,F,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Accountants,2
5009216,C,F,N,N,0,270000,Working,Higher education,Married,House / apartment,1,0,Accountants,2
5009217,X,F,N,N,0,270000,Working,Higher education,Married,House / apartment,1,0,Accountants,2
5009226,C,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
5009234,X,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
5009236,0,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
5009249,C,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,3
5009260,C,F,N,N,0,202500,State servant,Higher education,Married,With parents,1,0,Core staff,2
5009263,C,F,N,N,0,202500,State servant,Higher education,Married,With parents,1,0,Core staff,2
5009268,C,M,Y,N,0,337500,State servant,Higher education,Married,With parents,1,0,Managers,2
5009272,X,M,N,N,0,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,0,Laborers,2
5009280,C,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Cleaning staff,2
5009290,C,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Cleaning staff,2
5009297,1,F,N,N,0,193500,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,Laborers,1
5009300,X,F,N,N,0,193500,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,Laborers,1
5009302,C,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
5009319,C,F,Y,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,1,,2
5009343,C,M,Y,N,0,252000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2
5009344,0,M,Y,N,0,252000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2
5009345,C,M,Y,N,0,252000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,2
5009349,X,M,N,N,0,180000,Commercial associate,Lower secondary,Married,House / apartment,1,0,Drivers,2
5009363,C,M,Y,N,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,Drivers,2
5009365,C,M,Y,N,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,Drivers,2
5009378,C,F,N,N,2,225000,Working,Higher education,Married,House / apartment,1,1,Core staff,4
5009381,C,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
5009383,C,F,N,N,0,450000,State servant,Higher education,Married,House / apartment,1,0,Managers,2
5009399,C,F,N,N,1,76500,Working,Higher education,Civil marriage,House / apartment,1,0,Accountants,3
5009401,C,F,N,N,1,76500,Working,Higher education,Civil marriage,House / apartment,1,0,Accountants,3
5009403,C,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Security staff,2
5009404,0,F,N,N,2,67500,Commercial associate,Higher education,Married,House / apartment,1,0,Core staff,4
5009405,X,M,N,N,0,234000,Working,Incomplete higher,Married,House / apartment,1,0,Drivers,2
5009418,0,F,N,N,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Core staff,1
5009425,C,M,N,N,0,108000,Working,Secondary / secondary special,Single / not married,Co-op apartment,1,0,Cooking staff,1
5009426,0,M,N,N,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5009431,C,M,Y,N,0,360000,State servant,Higher education,Married,Municipal apartment,1,0,Drivers,2
5009441,C,F,N,N,0,90000,State servant,Secondary / secondary special,Married,House / apartment,1,0,,2
5009443,0,F,N,N,0,90000,State servant,Secondary / secondary special,Married,House / apartment,1,0,,2
5009444,C,F,N,N,0,90000,State servant,Secondary / secondary special,Married,House / apartment,1,0,,2
5009456,C,F,N,N,0,202500,State servant,Higher education,Married,House / apartment,1,0,Laborers,2
5009457,C,F,N,N,0,202500,State servant,Higher education,Married,House / apartment,1,0,Laborers,2
5009465,C,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,,2
5009481,0,F,N,N,0,180000,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5009487,C,F,N,N,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,,4
5009488,C,F,N,N,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,,4
5009489,C,F,N,N,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,,4
5009490,X,M,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5009493,C,M,Y,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,Drivers,2
5009503,X,M,Y,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,Drivers,2
5009508,C,F,N,N,0,202500,Working,Higher education,Married,House / apartment,1,0,Core staff,2
5009517,C,F,N,N,0,157500,Working,Incomplete higher,Married,House / apartment,1,0,Core staff,2
5009524,3,M,Y,N,1,112500,Working,Secondary / secondary special,Separated,Co-op apartment,1,0,Laborers,2
5009530,X,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2
5009534,C,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2
5009535,C,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2
5009536,C,M,Y,N,0,216000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5009540,C,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009554,C,F,N,N,0,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2
5009555,0,F,N,N,0,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2
5009559,C,F,N,N,0,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2
5009570,X,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5009571,C,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5009574,X,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5009576,X,F,Y,N,0,315000,Working,Secondary / secondary special,Married,House / apartment,1,0,Accountants,2
5009593,C,F,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5009594,0,F,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5009599,C,F,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5009600,C,F,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5009603,0,F,N,N,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
5009607,C,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,4
5009608,X,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,4
5009610,0,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,4
5009611,C,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,4
5009612,X,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,4
5009614,0,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,4
5009618,C,M,Y,N,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5009620,C,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009622,C,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009631,C,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5009643,0,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,0,,1
5009665,C,F,N,N,0,126000,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,,1
5009671,0,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Core staff,2
5009672,0,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Core staff,2
5009675,C,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
5009677,C,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
5009683,C,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
5009685,C,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
5009687,C,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
5009690,X,F,N,N,0,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,,1
5009691,X,F,N,N,0,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,,1
5009693,X,F,N,N,0,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,,1
5009695,0,M,Y,N,0,1350000,Commercial associate,Higher education,Married,Municipal apartment,1,1,Managers,2
5009702,0,F,N,N,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5009703,C,F,N,N,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5009705,C,F,N,N,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5009706,0,F,N,N,0,157500,Working,Higher education,Married,House / apartment,1,0,Managers,2
5009707,0,F,N,N,0,157500,Working,Higher education,Married,House / apartment,1,0,Managers,2
5009711,X,F,Y,N,0,135000,Working,Secondary / secondary special,Civil marriage,With parents,1,0,Sales staff,2
5009726,C,F,N,N,0,135000,Working,Higher education,Married,House / apartment,1,0,Sales staff,2
5009727,C,F,N,N,0,135000,Working,Higher education,Married,House / apartment,1,0,Sales staff,2
5009738,0,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5009741,0,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5009742,C,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009744,5,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5009749,5,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5009750,0,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5009751,C,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5009752,C,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5009754,C,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5009757,C,M,Y,N,0,270000,Working,Higher education,Single / not married,House / apartment,1,0,Laborers,1
5009797,0,F,N,N,0,198000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
5009811,0,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
5009813,X,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
5009816,0,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
5009822,0,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,1,0,Cooking staff,2
5009829,X,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5009831,C,M,Y,N,0,166500,Working,Higher education,Married,With parents,1,0,Core staff,2
5009834,0,M,Y,N,0,166500,Working,Higher education,Married,With parents,1,0,Core staff,2
5009836,C,M,Y,N,0,166500,Working,Higher education,Married,With parents,1,0,Core staff,2
5009839,C,M,Y,N,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2
5009844,X,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,Security staff,2
5009857,C,M,Y,N,0,360000,Commercial associate,Secondary / secondary special,Separated,With parents,1,0,Drivers,1
5009859,C,M,Y,N,0,360000,Commercial associate,Secondary / secondary special,Separated,With parents,1,0,Drivers,1
5009865,X,M,Y,N,0,225000,Working,Higher education,Civil marriage,Rented apartment,1,0,Managers,2
5009868,C,M,Y,N,0,225000,Working,Higher education,Civil marriage,Rented apartment,1,0,Managers,2
5009872,C,M,Y,N,2,427500,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,4
5009874,X,M,Y,N,2,427500,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,4
5009877,X,F,N,Y,2,157500,State servant,Higher education,Married,House / apartment,1,0,Core staff,4
5009883,0,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,,2
5009890,C,M,Y,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,Managers,1
5009898,X,F,Y,Y,2,90000,State servant,Higher education,Married,House / apartment,1,0,Core staff,4
5009900,C,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009903,C,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009906,C,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009907,C,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009908,1,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009909,C,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009911,C,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5009915,C,F,N,Y,2,99000,Commercial associate,Higher education,Married,House / apartment,1,0,Accountants,4
5009931,0,M,Y,Y,0,360000,Working,Higher education,Married,House / apartment,1,0,Laborers,2
5009935,0,F,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,4
5009945,C,F,Y,N,2,99000,Pensioner,Secondary / secondary special,Married,House / apartment,1,1,,4
5009947,C,F,Y,Y,2,90000,State servant,Secondary / secondary special,Married,House / apartment,1,0,Cooking staff,4
5009949,0,F,Y,Y,2,90000,State servant,Secondary / secondary special,Married,House / apartment,1,0,Cooking staff,4
5009951,X,M,N,Y,0,90000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,,2
5009954,C,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,,2
5009960,C,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,,3
5009961,0,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,,3
5009967,C,F,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2
5009981,C,F,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2
5009992,X,M,Y,N,2,157500,Working,Secondary / secondary special,Married,Office apartment,1,1,Drivers,4
5009993,X,F,N,Y,0,135000,Working,Incomplete higher,Married,House / apartment,1,0,Managers,2
5010002,C,F,N,Y,2,157500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Core staff,4
5010006,0,M,Y,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5010021,C,F,N,N,0,99000,Commercial associate,Higher education,Single / not married,With parents,1,1,,1
5010026,C,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5010045,C,F,N,Y,0,67500,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5010047,C,F,N,Y,0,67500,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
5010052,C,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,Cleaning staff,2
5010084,0,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,Security staff,2
5010094,0,F,N,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5010101,C,F,Y,Y,2,306000,State servant,Higher education,Married,House / apartment,1,0,Core staff,4
5010102,X,F,Y,Y,2,306000,State servant,Higher education,Married,House / apartment,1,0,Core staff,4
5010104,0,F,N,Y,0,166500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5010111,0,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5010112,0,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5010114,C,F,Y,Y,0,202500,Pensioner,Higher education,Widow,House / apartment,1,1,,1
5010117,C,F,N,Y,1,67500,State servant,Secondary / secondary special,Married,Municipal apartment,1,0,Core staff,3
5010122,C,M,Y,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
5010127,C,F,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,1,1,Managers,4
5010153,C,F,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,3
5010170,C,F,N,Y,0,135000,State servant,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2
5010174,0,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,1,Laborers,2
5010178,0,M,Y,Y,2,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,1,,4
5010185,C,M,N,N,1,247500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Laborers,2
5010187,C,M,N,N,1,247500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Laborers,2
5010190,0,F,N,Y,0,76500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5010206,C,M,Y,Y,0,135000,Working,Lower secondary,Married,With parents,1,1,Laborers,2
5010212,X,M,Y,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,1,0,,2
5010226,0,F,Y,Y,1,90000,State servant,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,3
5010234,C,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5010240,C,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5010244,C,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5010248,C,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5010253,C,F,Y,Y,0,247500,State servant,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
5010256,0,F,Y,Y,1,67500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Cooking staff,3
5010271,X,M,N,Y,1,562500,Working,Incomplete higher,Married,House / apartment,1,0,,3
5010274,C,M,N,Y,1,562500,Working,Incomplete higher,Married,House / apartment,1,0,,3
5010277,C,M,N,Y,1,562500,Working,Incomplete higher,Married,House / apartment,1,0,,3
5010279,X,M,N,Y,1,562500,Working,Incomplete higher,Married,House / apartment,1,0,,3
5010286,C,F,N,Y,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,1,1,,2
5010294,0,F,N,Y,0,99000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Sales staff,1
5010299,0,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
5010302,0,F,N,Y,0,189000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2
5010303,C,F,N,Y,0,189000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2
5010305,C,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5010306,C,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5010307,X,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
5010313,C,F,Y,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Core staff,3
5010319,C,M,N,N,0,135000,Commercial associate,Higher education,Married,House / apartment,1,1,Cooking staff,2
5010337,0,F,N,N,0,216000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
